GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
waes-test,com.dematte.waestest.config,SwaggerConfig,0,67,0,0,0,17,0,4,0,4
waes-test,com.dematte.waestest.model,Side,0,24,0,0,0,3,0,1,0,1
waes-test,com.dematte.waestest.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
waes-test,com.dematte.waestest.exception,MissingDataException,0,4,0,0,0,2,0,1,0,1
waes-test,com.dematte.waestest.exception,RecordNotFoundException,0,4,0,0,0,2,0,1,0,1
waes-test,com.dematte.waestest.exception,InvalidData,0,5,0,0,0,2,0,1,0,1
waes-test,com.dematte.waestest.exception,BadRequestException,0,9,0,0,0,4,0,2,0,2
waes-test,com.dematte.waestest.controller,RestExceptionHandler,11,25,0,0,2,5,1,3,1,3
waes-test,com.dematte.waestest.controller,V1DiffController.SidePropertyEditorSupport,0,16,0,0,0,5,0,2,0,2
waes-test,com.dematte.waestest.controller,V1DiffController,0,36,0,0,0,7,0,4,0,4
waes-test,com.dematte.waestest.model.entities,Record,117,36,18,0,0,6,13,8,4,8
waes-test,com.dematte.waestest.services.impl,RecordServiceImpl,0,99,0,2,0,22,0,7,0,6
waes-test,com.dematte.waestest.services.impl,RecordDiffServiceImpl,9,100,2,16,2,29,2,10,0,3
waes-test,com.dematte.waestest.model.dto,DiffResult,0,34,0,0,0,4,0,1,0,1
waes-test,com.dematte.waestest.model.dto,ErrorDTO,73,16,14,0,0,4,11,4,4,4
waes-test,com.dematte.waestest.model.dto,DiffPart,75,26,10,0,0,5,9,6,4,6
waes-test,com.dematte.waestest.model.dto,RecordDiffResult,109,31,22,0,0,7,15,7,4,7
waes-test,com.dematte.waestest,WaesTestApplication,5,3,0,0,2,1,1,1,1,1
